car_model,price,year_model,kms,color,fueltype
Chevrolet Spark Gt Ltz,$34.000.000,2015,90,Color not found,Gasolina
Chevrolet Spark 1.0 Lt M200,$22.000.000,2013,100.000,Gris,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$17.500.000,2009,195.630,Color not found,Gasolina
Chevrolet Spark GT 1.2 Ltz,$35.500.000,2018,37.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$37.800.000,2019,84.000,Gris,Gasolina
Chevrolet Spark 1.0,$19.000.000,2011,129.028,Gris,Gasolina
Chevrolet Spark 1.2 Gt Lt,$36.000.000,2019,94.000,Plateado,Gasolina
Chevrolet Aveo,$23.000.000,2009,103.000,Rojo,Gasolina y gas
Chevrolet Spark 1.2 Gt Ltz,$37.900.000,2019,75.000,Blanco,Gasolina
Chevrolet Spark Gt Full Equipo,$27.900.000,2012,105.000,Rojo,Gasolina
Chevrolet Spark 1.2 Gt Lt,$35.900.000,2019,41.500,Blanco,Gasolina
Chevrolet Spark 1.0 Lt M200,$18.500.000,2009,174.500,Azul,Gasolina
Chevrolet Spark 1.2 Gt M300,$28.000.000,2013,145.267,Gris,Gasolina
Chevrolet Spark Gt Full Equipo ,$29.000.000,2013,94.500,Color not found,Gasolina
Chevrolet Spark Gt Activ ,$40.500.000,2019,60.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$22.000.000,2015,162.000,Color not found,Gasolina
Chevrolet Spark GT 1.2 Lt,$37.000.000,2019,94.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$25.500.000,2015,108.000,Negro,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$19.000.000,2010,146.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$26.800.000,2019,139.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$24.000.000,2016,57.060,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$32.500.000,2017,75.500,Gris,Gasolina
Chevrolet Spark 1.0 Life,$28.500.000,2016,48.000,Gris,Gasolina
Chevrolet Spark 1.0 Go,$39.000.000,2013,1,Amarillo,Gasolina
Chevrolet Spark 1.0 Go,$16.000.000,2007,147.890,Azul,Gasolina
Chevrolet Spark 1.2 Gt M300,$29.500.000,2014,125.663,Blanco,Gasolina
Chevrolet Spark 1.0 Lt M200,$20.000.000,2014,148.000,Color not found,Gasolina
Taxi - Modelo 2019,$70.000.000,2019,153.000,Amarillo,Gasolina
Chevrolet Spark GT 1.2 Ltz,$37.000.000,2019,34.000,Blanco,Gasolina
Chevrolet Spark 1.2 Gt M300,$30.000.000,2013,89.678,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$32.000.000,2016,143.750,Gris,Gasolina
Chevrolet Spark Gt,$30.000.000,2013,123.000,Dorado,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$42.000.000,2019,62.424,Gris,Gasolina
Chevrolet Spark Gt,$27.600.000,2011,156.000,Dorado,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$33.000.000,2017,76.500,Rojo,Gasolina
Chevrolet Spark 1.0 Life,$28.500.000,2019,33.000,Rojo,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$18.000.000,2014,170.000,Negro,Gasolina
Chevrolet Spark 1.0,$22.000.000,2009,192.297,Azul,Gasolina
Chevrolet Spark GT 1.2 Lt,$36.000.000,2019,75.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$33.400.000,2017,89.000,Gris,Gasolina
Chevrolet Spark 1.0 Life Lujo,$23.000.000,2016,130.000,Plateado,Gasolina
Chevrolet Spark Gt Ltz,$31.500.000,2015,105.000,Color not found,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$23.000.000,2012,90.800,Color not found,Gasolina
Chevrolet Spark Lt,$16.500.000,2009,168.350,Color not found,Gasolina
Chevrolet Spark 1.0,$20.300.000,2011,153.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$33.600.000,2017,75.000,Blanco,Gasolina
Chevrolet Spark 995 Cc,$21.800.000,2014,108.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$27.990.000,2019,76.000,Color not found,Gasolina
Chevrolet Spark 1.0,$21.000.000,2012,140.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt Ls,$35.900.000,2019,54.500,Blanco,Gasolina
Chevrolet Spark 1.0 Go,$20.000.000,2010,200.000,Gris,Gasolina
Chevrolet Spark 1.0 Life,$29.000.000,2017,106.000,Gris,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$23.000.000,2014,165.000,Gris,Gasolina
Chevrolet Spark GT 1.2 Lt,$40.000.000,2020,44.304,Plateado,Gasolina
Chevrolet Spark 1.2 Gt Lt,$36.000.000,2019,73.010,Plateado,Gasolina
Spark Gt,$36.500.000,2016,100.000,Gris,Gasolina y gas
Chevrolet Spark 1.0 Life,$27.000.000,2019,50.800,Gris,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$20.900.000,2013,109.000,Gris,Gasolina
Chevrolet Spark Gt Version Full Equipo ,$34.000.000,2017,116.000,Color not found,Gasolina
